Formula,Volume,Mass,Energy,Heat_of_formation,Electronegativity_A,Electronegativity_B,First_Ionization_energy_A,First_Ionization_energy_B,Radius_A,Radius_B,PBE,G0W0
HgCl2,247.551,271.492,-6.346,-0.63,2,3.16,1007.1,1251.2,171,79,2.447,4.618
HgI2,308.136,454.401,-4.682,-0.28,2,2.66,1007.1,1008.4,171,115,1.199,2.594
MgBr2,235.286,184.113,-9.383,-1.532,1.31,2.96,737.7,1139.9,145,94,4.588,7.716
MgCl2,207.325,95.205,-10.849,-1.887,1.31,3.16,737.7,1251.2,145,79,5.941,9.599
MgI2,281.291,278.114,-7.816,-1.081,1.31,2.66,737.7,1008.4,145,115,3.273,5.744
MnBr2,236.139,214.746,-15.233,-0.782,1.55,2.96,717.3,1139.9,161,94,1.477,3.596
NiBr2,211.002,218.501,-11.636,-0.406,1.92,2.96,737.1,1139.9,149,94,0.762,2.615
NiCl2,186.877,129.593,-12.74,-0.641,1.92,3.16,737.1,1251.2,149,79,1.217,3.422
OsBr2,222.426,350.038,-13.298,0.354,2.18,2.96,840,1139.9,185,94,1.157,2.463
OsCl2,199.353,261.13,-14.273,0.163,2.18,3.16,840,1251.2,185,79,1.33,2.881
OsI2,252.602,444.039,-12.835,0.437,2.18,2.66,840,1008.4,185,115,1.1,2.235
PbBr2,319.586,367.008,-9.823,-0.965,1.87,2.96,715.6,1139.9,154,94,2.004,4.207
PbCl2,300.383,278.1,-10.832,-1.168,1.87,3.16,715.6,1251.2,154,79,2.367,4.928
PdBr2,236.119,266.228,-7.668,-0.226,2.2,2.96,804.4,1139.9,169,94,0.118,1.252
PdCl2,213.619,177.32,-8.438,-0.349,2.2,3.16,804.4,1251.2,169,79,0.433,2.381
PtBr2,239.647,354.892,-9.45,0.025,2.28,2.96,870,1139.9,177,94,0.106,0.805
RuBr2,218.248,260.878,-12.937,-0.101,2.2,2.96,710.2,1139.9,178,94,1.045,2.403
RuCl2,195.167,171.97,-13.935,-0.301,2.2,3.16,710.2,1251.2,178,79,1.181,2.624
RuI2,250.054,354.879,-12.309,0.037,2.2,2.66,710.2,1008.4,178,115,1.022,1.988
SnCl2,285.916,189.61,-10.599,-0.991,1.96,3.16,708.6,1251.2,145,79,2.324,4.553
SrCl2,306.889,158.52,-12.649,-2.468,0.95,3.16,549.5,1251.2,219,79,5.738,9.502
VBr2,227.45,210.749,-14.283,-0.863,1.63,2.96,650.9,1139.9,171,94,1.252,3.013
VCl2,204.367,121.842,-15.615,-1.174,1.63,3.16,650.9,1251.2,171,79,1.354,3.456
ZnBr2,224.438,225.188,-6.883,-0.843,1.65,2.96,906.4,1139.9,142,94,3.353,5.864
ZnCl2,198.927,136.28,-8.075,-1.107,1.65,3.16,906.4,1251.2,142,79,4.453,7.439
ZnI2,265.738,319.189,-5.615,-0.492,1.65,2.66,906.4,1008.4,142,115,1.749,3.584
CaBr2,272.013,199.886,-11.077,-1.965,1,2.96,589.8,1139.9,194,94,4.128,7.587
CaCl2,245.84,110.978,-12.383,-2.267,1,3.16,589.8,1251.2,194,79,4.771,8.83
